ID,AGENT,TYPE,CONFIDENCE,SECURITY
3245074467,OpenAI_Codex,test,9,0
3245074575,OpenAI_Codex,docs,9,0
3245082884,OpenAI_Codex,feat,9,0
3245083293,OpenAI_Codex,feat,9,0
3245083328,OpenAI_Codex,feat,9,0
3136992715,OpenAI_Codex,fix,9,0
3137020831,OpenAI_Codex,feat,9,0
3137089281,OpenAI_Codex,feat,9,0
3137091668,OpenAI_Codex,feat,9,0
3137336775,OpenAI_Codex,feat,9,0
3143956224,OpenAI_Codex,feat,10,0
3143915164,OpenAI_Codex,feat,9,0
3143881970,OpenAI_Codex,feat,9,0
3143868623,OpenAI_Codex,feat,9,0
3255465701,OpenAI_Codex,feat,9,0
3255718337,OpenAI_Codex,fix,10,0
3255719329,OpenAI_Codex,feat,9,0
3255730893,OpenAI_Codex,fix,8,0
3255788625,OpenAI_Codex,feat,9,0
3255791890,OpenAI_Codex,feat,9,0
3255968710,OpenAI_Codex,fix,8,0
3256121364,OpenAI_Codex,feat,9,0
3256206559,OpenAI_Codex,feat,9,0
3256288009,OpenAI_Codex,feat,8,0
3256291815,OpenAI_Codex,fix,10,0
3256296259,OpenAI_Codex,feat,9,0
3256461400,OpenAI_Codex,fix,10,0
3256554018,OpenAI_Codex,feat,9,0
3148048961,OpenAI_Codex,feat,9,0
3214200716,OpenAI_Codex,fix,9,0
3226689934,OpenAI_Codex,refactor,9,0
3191826330,OpenAI_Codex,refactor,9,0
3128378875,OpenAI_Codex,feat,8,0
3142050759,OpenAI_Codex,fix,9,0
3236275579,OpenAI_Codex,build,9,0
3236634521,OpenAI_Codex,docs,9,0
3237409182,OpenAI_Codex,feat,9,1
3278145927,OpenAI_Codex,fix,9,0
3261808354,OpenAI_Codex,build,9,0
3261886002,OpenAI_Codex,docs,9,0
3259508814,OpenAI_Codex,fix,9,0
3259576919,OpenAI_Codex,feat,9,1
3228892605,OpenAI_Codex,chore,9,0
3074741932,OpenAI_Codex,feat,9,0
3074759993,OpenAI_Codex,test,9,1
3155426625,OpenAI_Codex,docs,9,0
3155436350,OpenAI_Codex,test,9,0
3155438386,OpenAI_Codex,test,9,0
3155515045,OpenAI_Codex,test,9,0
3077907407,OpenAI_Codex,test,9,0
3077944983,OpenAI_Codex,test,9,0
3077950832,OpenAI_Codex,ci,9,0
3078007443,OpenAI_Codex,feat,9,0
3078043474,OpenAI_Codex,feat,9,0
3078059473,OpenAI_Codex,feat,10,0
3152264433,OpenAI_Codex,refactor,9,0
3152320628,OpenAI_Codex,refactor,10,0
3075460584,OpenAI_Codex,feat,9,0
3113874743,OpenAI_Codex,docs,9,1
3214354036,OpenAI_Codex,feat,9,0
3214354705,OpenAI_Codex,feat,9,0
3214354886,OpenAI_Codex,feat,9,0
3214382471,OpenAI_Codex,fix,10,0
3214383434,OpenAI_Codex,feat,9,0
3214386276,OpenAI_Codex,feat,9,0
3214389367,OpenAI_Codex,refactor,8,0
3214397106,OpenAI_Codex,feat,9,0
3214401581,OpenAI_Codex,feat,9,0
3214402051,OpenAI_Codex,feat,9,0
3214423323,OpenAI_Codex,feat,9,0
3214435240,OpenAI_Codex,fix,10,0
3214462459,OpenAI_Codex,feat,9,0
3126406430,OpenAI_Codex,fix,9,0
3126429226,OpenAI_Codex,test,9,0
3126469348,OpenAI_Codex,fix,10,0
3174076293,OpenAI_Codex,feat,9,0
3174096211,OpenAI_Codex,feat,9,0
3174107060,OpenAI_Codex,feat,9,0
3174139798,OpenAI_Codex,feat,9,0
3174355593,OpenAI_Codex,feat,9,0
3174394465,OpenAI_Codex,feat,9,0
3174441525,OpenAI_Codex,fix,8,0
3174443430,OpenAI_Codex,feat,9,0
3174446713,OpenAI_Codex,test,9,0
3174463081,OpenAI_Codex,feat,9,0
3211401020,OpenAI_Codex,fix,10,0
3245965450,OpenAI_Codex,feat,9,0
3202883766,OpenAI_Codex,feat,9,1
3202889687,OpenAI_Codex,feat,9,0
3202932667,OpenAI_Codex,feat,9,0
3230119967,OpenAI_Codex,other,8,0
3138073027,OpenAI_Codex,feat,9,0
3146937698,OpenAI_Codex,refactor,9,0
3146968261,OpenAI_Codex,refactor,9,0
3147078486,OpenAI_Codex,feat,9,0
3228238153,OpenAI_Codex,feat,10,0
3228378431,OpenAI_Codex,chore,10,0
3169744521,OpenAI_Codex,refactor,9,1
3169728295,OpenAI_Codex,refactor,10,0
3169675597,OpenAI_Codex,feat,9,0
3216660550,OpenAI_Codex,ci,10,0
3216790165,OpenAI_Codex,docs,9,0
3166243169,OpenAI_Codex,feat,10,0
3150539359,OpenAI_Codex,feat,9,0
3150562626,OpenAI_Codex,feat,9,0
3123938835,OpenAI_Codex,docs,9,0
3124235588,OpenAI_Codex,docs,9,0
3124757808,OpenAI_Codex,feat,9,1
3125228088,OpenAI_Codex,fix,9,0
3157953185,OpenAI_Codex,feat,9,0
3157929080,OpenAI_Codex,fix,10,0
3157922164,OpenAI_Codex,fix,10,0
3157907269,OpenAI_Codex,feat,9,1
3261585884,OpenAI_Codex,fix,10,0
3263280094,OpenAI_Codex,fix,10,0
3263382195,OpenAI_Codex,fix,10,0
3264387081,OpenAI_Codex,refactor,9,0
3143815584,OpenAI_Codex,feat,9,1
3232428398,OpenAI_Codex,fix,10,1
3231991188,OpenAI_Codex,feat,9,0
3249668322,OpenAI_Codex,fix,10,0
3223344531,OpenAI_Codex,feat,8,0
3223425104,OpenAI_Codex,test,8,0
3223613616,OpenAI_Codex,build,9,0
3080054616,OpenAI_Codex,docs,10,0
3080101913,OpenAI_Codex,fix,10,0
3080182898,OpenAI_Codex,fix,10,0
3101183442,OpenAI_Codex,refactor,9,0
3071799995,OpenAI_Codex,fix,10,0
3071803431,OpenAI_Codex,fix,10,0
3071822317,OpenAI_Codex,fix,9,0
3071839438,OpenAI_Codex,docs,9,0
3071842909,OpenAI_Codex,feat,9,0
3071883910,OpenAI_Codex,fix,10,1
3071900404,OpenAI_Codex,fix,10,0
3217596357,OpenAI_Codex,feat,9,0
3217601523,OpenAI_Codex,fix,10,0
3217607110,OpenAI_Codex,feat,9,0
3217614170,OpenAI_Codex,feat,9,0
3217663225,OpenAI_Codex,feat,9,0
3217691511,OpenAI_Codex,docs,9,0
3217697375,OpenAI_Codex,feat,9,0
3148446439,OpenAI_Codex,fix,10,0
3148505868,OpenAI_Codex,fix,10,0
3142706224,OpenAI_Codex,feat,9,0
3241264927,OpenAI_Codex,chore,8,0
3241267451,OpenAI_Codex,test,9,0
3161652026,OpenAI_Codex,feat,9,0
3161733019,OpenAI_Codex,test,9,0
3112041418,OpenAI_Codex,docs,9,0
3112052989,OpenAI_Codex,docs,9,0
3112090802,OpenAI_Codex,docs,9,0
3112125684,OpenAI_Codex,feat,9,0
3112158411,OpenAI_Codex,feat,9,0
3112222308,OpenAI_Codex,feat,9,0
3112276146,OpenAI_Codex,docs,8,0
3112390510,OpenAI_Codex,docs,10,0
3254346291,OpenAI_Codex,feat,9,0
3150110759,OpenAI_Codex,test,9,0
3212681149,OpenAI_Codex,feat,9,0
3147509805,OpenAI_Codex,chore,9,0
3164532102,OpenAI_Codex,fix,10,0
3164519856,OpenAI_Codex,test,9,0
3174125763,OpenAI_Codex,feat,9,1
3209746106,OpenAI_Codex,fix,10,0
3098006471,OpenAI_Codex,test,8,0
3098103290,OpenAI_Codex,feat,8,0
3098185728,OpenAI_Codex,feat,9,0
3098199446,OpenAI_Codex,docs,9,0
3098322505,OpenAI_Codex,test,9,0
3098332866,OpenAI_Codex,test,9,0
3098414087,OpenAI_Codex,feat,9,1
3098493900,OpenAI_Codex,feat,8,0
3117312157,OpenAI_Codex,docs,9,0
3242630125,OpenAI_Codex,fix,8,0
3242674802,OpenAI_Codex,feat,9,0
3242677167,OpenAI_Codex,fix,9,0
3242680802,OpenAI_Codex,feat,9,0
3242684081,OpenAI_Codex,test,9,0
3242689447,OpenAI_Codex,feat,9,0
3242694943,OpenAI_Codex,test,9,1
3242716868,OpenAI_Codex,fix,10,0
3242733134,OpenAI_Codex,test,9,0
3242736120,OpenAI_Codex,docs,9,0
3242746465,OpenAI_Codex,fix,10,0
3242768113,OpenAI_Codex,feat,9,0
3242775641,OpenAI_Codex,docs,9,0
3242777662,OpenAI_Codex,feat,9,0
3242782597,OpenAI_Codex,feat,8,0
3242784138,OpenAI_Codex,feat,8,0
3242793590,OpenAI_Codex,feat,9,0
3242794608,OpenAI_Codex,fix,10,0
3242807856,OpenAI_Codex,fix,9,0
3197517096,OpenAI_Codex,docs,9,0
3197569046,OpenAI_Codex,fix,9,0
3197571667,OpenAI_Codex,chore,8,0
3197572572,OpenAI_Codex,fix,10,0
3197592817,OpenAI_Codex,test,8,0
3197646388,OpenAI_Codex,feat,8,0
3197648202,OpenAI_Codex,docs,9,0
3197690841,OpenAI_Codex,feat,8,0
3197697666,OpenAI_Codex,fix,10,0
3197697688,OpenAI_Codex,feat,8,0
3197764450,OpenAI_Codex,feat,8,0
3197773001,OpenAI_Codex,docs,8,1
3197779546,OpenAI_Codex,test,8,0
3197786835,OpenAI_Codex,fix,10,0
3197789388,OpenAI_Codex,test,8,0
3197825107,OpenAI_Codex,test,9,0
3197825308,OpenAI_Codex,test,8,0
3197875863,OpenAI_Codex,test,9,0
3197950467,OpenAI_Codex,feat,9,0
3146313109,OpenAI_Codex,test,10,0
3146312777,OpenAI_Codex,feat,9,0
3146310331,OpenAI_Codex,test,9,0
3146309021,OpenAI_Codex,feat,9,0
3146307240,OpenAI_Codex,feat,9,0
3146266154,OpenAI_Codex,chore,10,0
3146261117,OpenAI_Codex,feat,9,0
3080066743,OpenAI_Codex,test,9,0
3080073805,OpenAI_Codex,docs,10,0
3080247534,OpenAI_Codex,feat,9,1
3080568634,OpenAI_Codex,feat,9,0
3080572545,OpenAI_Codex,feat,9,0
3080668353,OpenAI_Codex,feat,10,0
3080697099,OpenAI_Codex,feat,10,0
3073524440,OpenAI_Codex,chore,9,0
3073538418,OpenAI_Codex,fix,10,0
3073561887,OpenAI_Codex,docs,10,0
3073780610,OpenAI_Codex,docs,10,0
3073853090,OpenAI_Codex,docs,9,0
3074006464,OpenAI_Codex,docs,9,0
3075667255,OpenAI_Codex,docs,9,0
3075729468,OpenAI_Codex,style,10,0
3152973344,OpenAI_Codex,chore,10,0
3153033906,OpenAI_Codex,fix,10,0
3217456566,OpenAI_Codex,docs,9,0
3217501028,OpenAI_Codex,fix,10,0
3217577433,OpenAI_Codex,fix,10,0
3217592682,OpenAI_Codex,ci,9,0
